School Name,Index,has_search_index
Four Rivers Special Education District,2001,False
Frank Phillips College,2308,False
Frankfort CUSD 168,1726,False
Franklin Public Schools,95,False
Franklin Special School District,568,False
FRANKSTON ISD,2208,False
Fraser Public Schools,1115,False
"Frazee-Vergas Public Schools, ISD 23",1088,False
Frederic School District,2070,False
Fredericksburg ISD,825,True
Freeland Community School District,1317,False
Freeman Public Schools,197,True
Freer ISD,1001,False
Fremont Public Schools,199,False
Fremont School District No. 79,1732,False
Fridley Public Schools,1114,False
Friend Public Schools,185,False
Friends Board of Trustees,533,True
Friendship Public Charter School,2126,False
Friona ISD,1262,False
Frisco ISD,2014,False
Frontier Public Schools,2471,True
Frost ISD,2331,False
Fruitport Community Schools,2482,True
Fruitvale ISD,1938,False
Gail Borden Public Library District,1426,True
Gainesville ISD,2214,False
Galena City School District,2586,True
Galena Park ISD,1860,False
Galveston College,1505,False
Galveston Independent School District,1941,True
Ganado ISD,2306,False
Gans Public School,2717,True
Garber Public Schools,2541,True
Garden City Public Schools USD 457,2712,True
Garland Independent School District,1084,True
Garner ISD,730,True
Garrison ISD,2055,True
Gary ISD,884,False
Gatesville ISD,910,True
Gavin School District 37,1251,False
Gaylord Community Schools,913,True
Geneva CUSD 304,1667,True
Georgetown ISD,966,False
Georgetown-Ridge Farm Unit No.4,1731,False
Gering Public Schools,gering,True
Germantown Municipal School District,557,True
Gibson County Special School District,569,False
Giddings ISD,710,True
Gilmer ISD,1768,False
Giltner Public Schools,386,True
Gladewater Independent School District,2202,False
Glasscock County ISD,1363,False
Glastonbury Public Schools,2417,True
Glen Ellyn School District 41,1309,True
Glen Rose Independent School District,732,False
Glenbard Township High School Dist #87,1729,False
Glencoe Public Library,1234,False
Godley ISD,2605,False
Gogebic Ontonagon Intermediate School District,2747,True
Goldendale School District,780,False
Goldthwaite CISD,881,False
Goliad ISD,2600,True
Gonzales Independent School District,950,False
Goodhue County Education District,971,True
Goodwell Public Schools,2533,True
Goodwill Central Texas/Excel,2502,True
Goose Creek CISD,1195,False
Gordon ISD,1081,False
Gordon-Rushville School,385,True
Gothenburg Public Schools,164,False
GPM Life Insurance,2393,True
Grady ISD,987,False
Graham ISD,800,False
Granbury ISD,772,False
Granby Public Schools,2427,True
Grand Island Public Schools,63,False
Grand Prairie Independent School District,948,False
Grand Saline ISD,824,False
Grand View Public Schools,3129,True
Grandfalls-Royalty Independent School District,3189,True
Grandfield Public Schools,2508,True
Grandview ISD,1755,False
Grandville Public Schools,3041,True
Granger ISD,1848,False
Granite School District,2744,True
Grant Community High School District 124,1751,False
Granton Area School District,2168,True
Grape Creek ISD,734,True
Grapevine-Colleyville ISD,1198,True
Gratiot County Courthouse,1371,True
Grayslake CHSD 127,1736,True
Grayson College,1233,False
Greasewood Springs Community Schools,763,False
Great Plains Technology Center,529,False
Greater Albany School District 8J,2005,True
Greenbush Middle River ISD 2683,1219,False
Greeneville City Schools,gcschools,True
Greenville Electric Utility System (GEUS),682,False
Greenville ISD,1948,False
Greenwood Independent School District,729,False
Gregory-Portland ISD,1396,False
Gresham-Barlow School District,3214,True
Groesbeck ISD,670,False
Groom Independent School District,1884,False
Grosse Ile Township Schools,1334,False
Grove Public Schools,Grove,False
Gull Lake Community Schools,1057,True
Gunter ISD,1238,False
Gurnee School District 56,1244,False
Gustine ISD,2784,True
Guymon Public Schools,272,False
Hale Center ISD,2278,False
Hallettsville ISD,2193,False
Hallsville ISD,1976,False
Hamilton Community Schools,1630,True
Hamilton County Department of Education,571,True
Hamilton ISD,951,False
Hamlin Collegiate ISD,917,False
Hamshire-Fannett ISD,792,False
Hancock County School District,2645,True
Happy ISD,2251,False
Harbor Springs Public Schools,1180,False
Hardin ISD,1123,False
Hardin-Jefferson ISD,952,False
Harlandale ISD,1981,False
Harlem Consolidated School District,1725,True
Harleton Independent School District,1864,False
Harlingen Consolidated Independent School District,1015,False
Harmony ISD,942,False
Harper Creek Community Schools,1420,False
Harper Woods School District,1638,False
Harrah Public Schools,Harrah,False
Harrison County School Board,2161,False
Harrison School District 36,1264,False
Hart Public Schools,1028,False
Harts Bluff ISD,937,False
Harvard CUSD 50,1227,False
Harvey School District 152,1735,False
Haskell CISD,2723,True
Haskell Public Schools,329,False
Hastings Public Schools,hastingsschools,False
Hastings Public Schools,931,False
Hawkins Independent School District,678,False
Haworth Public Schools,2411,False
Hayes Center Public Schools,133,False
Hays CISD,1858,False
Haywood County Schools,558,False
Hazel Crest School District 152 1/2,1401,False
Hazel Park Schools,1527,False
Hearne ISD,2705,True
Heart of Texas Behavioral Health Network,3207,True
Heartland Community Schools,heartland,False
Hedley Independent School District,2684,True
Helix School District,2585,True
Help Partner,help,True
Hemingford Public Schools,Hemingford,False
Hemphill ISD,2578,True
