LEA_NAME,LEAID,STATENAME,query_url
Reid Traditional Schools' Valley Academy Inc. (4306),400034,ARIZONA,
Maricopa County Community College District dba Gat (4314),400041,ARIZONA,
New School For The Arts (4316),400043,ARIZONA,
Espiritu Community Development Corp. (4335),400052,ARIZONA,
Heritage Academy Inc. (4336),400053,ARIZONA,
Villa Montessori Charter School (4339),400054,ARIZONA,
EduPreneurship Inc. (4341),400055,ARIZONA,
Intelli-School Inc. (4352),400061,ARIZONA,
Benjamin Franklin Charter School - Queen Creek (4355),400065,ARIZONA,
Montessori Day Public Schools Chartered Inc. (4359),400068,ARIZONA,
Khalsa Montessori Elementary Schools (4360),400069,ARIZONA,
Bright Beginnings School Inc. (4362),400071,ARIZONA,
Montessori Education Centre Charter School (4363),400072,ARIZONA,
Kingman Academy Of Learning (4383),400074,ARIZONA,
Young Scholars Academy Charter School Corp. (4385),400075,ARIZONA,
Edge School Inc. The (4421),400078,ARIZONA,
Presidio School (4425),400081,ARIZONA,
Colorado River Union High School District (4381),400082,ARIZONA,
Sedona Charter School Inc. (4492),400089,ARIZONA,
Mingus Springs Charter School (4493),400090,ARIZONA,
Franklin Phonetic Primary School Inc. (4495),400092,ARIZONA,
Az-Tec High School (4508),400094,ARIZONA,
Yuma Private Industry Council Inc. (4509),400095,ARIZONA,
Northland Preparatory Academy (4204),400097,ARIZONA,
Ball Charter Schools (Hearn) (4294),400100,ARIZONA,
Friendly House Inc. (4303),400102,ARIZONA,
Ombudsman Educational Services Ltd.a subsidiary  (4323),400103,ARIZONA,
Arizona Agribusiness & Equine Center Inc. (4331),400106,ARIZONA,
Allen-Cochran Enterprises Inc. (4347),400111,ARIZONA,
Hermosa Montessori Charter School (4426),400115,ARIZONA,
Arizona Department of Corrections (8336),400120,ARIZONA,
Acclaim Charter School (4325),400122,ARIZONA,
Genesis Program Inc. (4332),400124,ARIZONA,
Montessori Schoolhouse of Tucson Inc. (4428),400126,ARIZONA,
Edkey Inc. dba American Heritage Academy  (6365),400130,ARIZONA,
CPLC Community Schools (4300),400144,ARIZONA,
Kaizen Education Foundation dba El Dorado High Sch (4342),400149,ARIZONA,
Mexicayotl Academy Inc. (4463),400150,ARIZONA,
Shonto Governing Board of Education Inc. (6353),400154,ARIZONA,
Edkey Inc. - Sequoia Choice Schools (4329),400157,ARIZONA,
Tucson Preparatory School (6374),400159,ARIZONA,
Vision Charter School Inc. (4430),400160,ARIZONA,
Coconino County Accommodation School District (10386),400163,ARIZONA,
Keystone Montessori Charter School Inc. (10878),400165,ARIZONA,
Cambridge Academy  East  Inc (78888),400182,ARIZONA,
Ball Charter Schools (Dobson) (79204),400184,ARIZONA,
Pioneer Technology & Arts Academy of Arizona (4340),400185,ARIZONA,
Fit Kids Inc. dba Champion Schools (78783),400191,ARIZONA,
Pima County (4420),400201,ARIZONA,
Academy of Tucson Inc. (78897),400202,ARIZONA,
Mountain Oak Charter School Inc. (78873),400208,ARIZONA,
Painted Pony Ranch Charter School (10967),400210,ARIZONA,
Mary Ellen Halvorson Educational Foundation. dba:  (10965),400211,ARIZONA,
Benson Unified School District (79226),400212,ARIZONA,
Little Lamb Community School (79050),400217,ARIZONA,
Kaizen Education Foundation dba South Pointe Eleme (79233),400221,ARIZONA,
Daisy Education Corporation dba Sonoran Science Ac (79049),400223,ARIZONA,
Horizon Community Learning Center Inc. (79264),400225,ARIZONA,
