school_district,state
"Westville Community Unit School District 2, Illinois",Illinois
"Coulterville Unit School District 1, Illinois",Illinois
"Rock Falls Township High School District 301, Illinois",Illinois
"New Trier Township High School District 203, Illinois",Illinois
"Athens Community Unit School District 213, Illinois",Illinois
"Mount Vernon School District 80, Illinois",Illinois
"Shirland Community Consolidated School District 134, Illinois",Illinois
"Kaneland Community Unit School District 302, Illinois",Illinois
"Dongola School Unit District 66, Illinois",Illinois
"Quincy School District 172, Illinois",Illinois
"Community Consolidated School District 15, Illinois",Illinois
"Country Club Hills School District 160, Illinois",Illinois
"Mendota Township High School District 280, Illinois",Illinois
"Mount Pulaski Community Unit School District 23, Illinois",Illinois
"Lake Forest Community High School District 115, Illinois",Illinois
"Kewanee Community Unit School District 229, Illinois",Illinois
"Murphysboro Community Unit School District 186, Illinois",Illinois
"Orion Community Unit School District 223, Illinois",Illinois
"LaGrange Highlands School District 106, Illinois",Illinois
"Pawnee Community Unit School District 11, Illinois",Illinois
"Marquardt School District 15, Illinois",Illinois
"Mahomet-Seymour Community Unit School District 3, Illinois",Illinois
"Riverton Community Unit School District 14, Illinois",Illinois
"Rockton School District 140, Illinois",Illinois
"Williamsville Community Unit School District 15, Illinois",Illinois
"Morrisonville Community Unit School District 1, Illinois",Illinois
"Stockton Community Unit School District 206, Illinois",Illinois
"Field Community Consolidated School District 3, Illinois",Illinois
"Mannheim School District 83, Illinois",Illinois
"Atwood Hammond Community Unit School District 39, Illinois",Illinois
"Streator Township High School District 40, Illinois",Illinois
"Tri-Valley Community Unit School District 3, Illinois",Illinois
"Golf Elementary School District 67, Illinois",Illinois
"Carbondale Elementary School District 95, Illinois",Illinois
"Rossville-Alvin Community Unit School District 7, Illinois",Illinois
"Warsaw Community Unit School District 316, Illinois",Illinois
"Salem Community High School District 600, Illinois",Illinois
"Mundelein Elementary School District 75, Illinois",Illinois
"Lick Creek Community Consolidated School District 16, Illinois",Illinois
"Winchester Community Unit School District 1, Illinois",Illinois
"McHenry Community Consolidated School District 15, Illinois",Illinois
"Hampton School District 29, Illinois",Illinois
"Palestine Community Unit School District 3, Illinois",Illinois
"Eldorado Community Unit School District 4, Illinois",Illinois
"Elementary School District 159, Illinois",Illinois
"Arthur Community Unit School District 305, Illinois",Illinois
"Kirby School District 140, Illinois",Illinois
"Pecatonica Community Unit School District 321, Illinois",Illinois
"Wolf Branch School District 113, Illinois",Illinois
"Komarek School District 94, Illinois",Illinois
"Riverside School District 96, Illinois",Illinois
"Crystal Lake Community Consolidated School District 47, Illinois",Illinois
"St. Anne Community High School District 302, Illinois",Illinois
"Allen-Otter Creek Community Consolidated School District 65, Illinois",Illinois
"Hardin County Community Unit School District 1, Illinois",Illinois
"Valley View School District 365U, Illinois",Illinois
"Salt Creek School District 48, Illinois",Illinois
"Fisher Community Unit School District 1, Illinois",Illinois
"Downers Grove Grade School District 58, Illinois",Illinois
"Cowden-Herrick Community Unit School District 3A, Illinois",Illinois
"Lake Forest School District 67, Illinois",Illinois
"Norwood Elementary School District 63, Illinois",Illinois
"Bloomingdale School District 13, Illinois",Illinois
"Putnam County Community Unit School District 535, Illinois",Illinois
"Morrison Community Unit School District 6, Illinois",Illinois
"Gillespie Community Unit School District 7, Illinois",Illinois
"Peoria Heights Community Unit School District 325, Illinois",Illinois
"St. Libory Consolidated School District 30, Illinois",Illinois
"Glen Ellyn School District 41, Illinois",Illinois
"Pinckneyville Community High School District 101, Illinois",Illinois
"Valmeyer Community Unit School District 3, Illinois",Illinois
"Mount Olive Community Unit School District 5, Illinois",Illinois
"Winnebago Community Unit School District 323, Illinois",Illinois
"Oblong Community Unit School District 4, Illinois",Illinois
"Ladd Community Consolidated School District 94, Illinois",Illinois
"Miller Township Community Consolidated School District 210, Illinois",Illinois
"Summersville School District 79, Illinois",Illinois
"Spoon River Valley Community Unit School District 4, Illinois",Illinois
"Ashton-Franklin Center Community Unit School District 275, Illinois",Illinois
"North Chicago School District 187, Illinois",Illinois
"Mount Vernon Township High School District 201, Illinois",Illinois
"East Alton-Wood River Community High School District 14, Illinois",Illinois
"St. George Community Consolidated School District 258, Illinois",Illinois
"Opdyke-Belle Rive Community Consolidated School District 5, Illinois",Illinois
"Woodstock Community Unit School District 200, Illinois",Illinois
"Aviston School District 21, Illinois",Illinois
"Illini Bluffs Community Unit School District 327, Illinois",Illinois
"Alton Community Unit School District 11, Illinois",Illinois
"Wabash Community Unit School District 348, Illinois",Illinois
"North Boone Community Unit School District 200, Illinois",Illinois
"Martinsville Community Unit School District C-3, Illinois",Illinois
"Bloomington School District 87, Illinois",Illinois
"Chester Community Unit School District 139, Illinois",Illinois
"Harrison School District 36, Illinois",Illinois
"Troy Community Consolidated School District 30C, Illinois",Illinois
"Woodland Community Consolidated School District 50, Illinois",Illinois
"Belle Valley School District 119, Illinois",Illinois
"East Moline School District 37, Illinois",Illinois
"Oakdale Community Consolidated School District 1, Illinois",Illinois
"Albers School District 63, Illinois",Illinois
"Lemont-Bromberek Combined School District 113A, Illinois",Illinois
"Patoka Community Unit School District 100, Illinois",Illinois
"Hoopeston Area Community Unit School District 11, Illinois",Illinois
"Paw Paw Community Unit School District 271, Illinois",Illinois
"Pennoyer School District 79, Illinois",Illinois
"Jersey Community Unit School District 100, Illinois",Illinois
"Ridgewood Community High School District 234, Illinois",Illinois
"School District U-46, Illinois",Illinois
"Shiloh Community Unit School District 1, Illinois",Illinois
"Elmhurst School District 205, Illinois",Illinois
"Elmwood Park Community Unit School District 401, Illinois",Illinois
"Paxton-Buckley-Loda Community Unit School District 10, Illinois",Illinois
"Oakwood Community Unit School District 76, Illinois",Illinois
"Washington School District 52, Illinois",Illinois
"Shiloh Village School District 85, Illinois",Illinois
"Skokie School District 68, Illinois",Illinois
"Community Consolidated School District 204, Illinois",Illinois
"Christopher Unit School District 99, Illinois",Illinois
"Henry-Senachwine Community Unit School District 5, Illinois",Illinois
"Scott-Morgan Community Unit School District 2, Illinois",Illinois
"Wallace Community Consolidated School District 195, Illinois",Illinois
"Lyons Township High School District 204, Illinois",Illinois
"Rankin Community School District 98, Illinois",Illinois
"Batavia Unit School District 101, Illinois",Illinois
"Cahokia Community Unit School District 187, Illinois",Illinois
"Community Unit School District 200, Illinois",Illinois
"Harrisburg Community Unit School District 3, Illinois",Illinois
"Union Ridge School District 86, Illinois",Illinois
"Orangeville Community Unit School District 203, Illinois",Illinois
"Medinah School District 11, Illinois",Illinois
"Lincoln Elementary School District 27, Illinois",Illinois
"Crab Orchard Community Unit School District 3, Illinois",Illinois
"St. Rose School District 14-15, Illinois",Illinois
"Round Lake Area Schools Community Unit District 116, Illinois",Illinois
"Worth School District 127, Illinois",Illinois
"Leepertown Community Consolidated School District 175, Illinois",Illinois
"Marion Community Unit School District 2, Illinois",Illinois
"LeRoy Community Unit School District 2, Illinois",Illinois
"Signal Hill School District 181, Illinois",Illinois
"Berkeley School District 87, Illinois",Illinois
"Oakland Community Unit School District 5, Illinois",Illinois
"Mendota Community Consolidated School District 289, Illinois",Illinois
"El Paso-Gridley Community Unit School District 11, Illinois",Illinois
"Steger School District 194, Illinois",Illinois
"Pontiac-William Holliday School District 105, Illinois",Illinois
"Hartsburg-Emden Community Unit School District 21, Illinois",Illinois
"Limestone Community High School District 310, Illinois",Illinois
"Annawan Community Unit School District 226, Illinois",Illinois
"Polo Community Unit School District 222, Illinois",Illinois
"Arbor Park School District 145, Illinois",Illinois
"Rock Falls Elementary School District 13, Illinois",Illinois
"Homewood-Flossmoor Community High School District 233, Illinois",Illinois
"Silvis School District 34, Illinois",Illinois
"Woodridge School District 68, Illinois",Illinois
"DeKalb Community Unit School District 428, Illinois",Illinois
"Zion-Benton Township High School District 126, Illinois",Illinois
"Rochelle Township High School District 212, Illinois",Illinois
"Hutsonville Community Unit School District 1, Illinois",Illinois
"Richland County Community Unit School District 1, Illinois",Illinois
"Zion Elementary School District 6, Illinois",Illinois
"Chadwick-Milledgeville Community Unit School District 399, Illinois",Illinois
"Union School District 81, Illinois",Illinois
"Harvard Community Unit School District 50, Illinois",Illinois
"Niles Elementary School District 71, Illinois",Illinois
"Seneca Community Consolidated School District 170, Illinois",Illinois
"Ludlow Community Consolidated School District 142, Illinois",Illinois
"Lyons School District 103, Illinois",Illinois
"Carmi-White County Community Unit School District 5, Illinois",Illinois
"Central Stickney School District 110, Illinois",Illinois
"Macomb Community Unit School District 185, Illinois",Illinois
"Brown County Community Unit School District 1, Illinois",Illinois
"Allendale Community Consolidated School District 17, Illinois",Illinois
"Carrollton Community Unit School District 1, Illinois",Illinois
"Creve Coeur School District 76, Illinois",Illinois
"New Simpson Hill School District 32, Illinois",Illinois
"Giant City Community Consolidated School District 130, Illinois",Illinois
"Millburn Community Consolidated School District 24, Illinois",Illinois
"Sesser-Valier Community Unit School District 196, Illinois",Illinois
"Bourbonnais School District 53, Illinois",Illinois
"Orland School District 135, Illinois",Illinois
"Rome Community Consolidated School District 2, Illinois",Illinois
"Stark County Community Unit School District 100, Illinois",Illinois
"Rockdale School District 84, Illinois",Illinois
"Crescent Iroquois Community District 252, Illinois",Illinois
"Galva Community Unit School District 224, Illinois",Illinois
"Streator Elementary School District 44, Illinois",Illinois
"Pinckneyville School District 50, Illinois",Illinois
"Norridge School District 80, Illinois",Illinois
"Community Consolidated School District 93, Illinois",Illinois
"Winfield School District 34, Illinois",Illinois
"Bremen Community High School District 228, Illinois",Illinois
"Chester Non-High School District 122, Illinois",Illinois
"Yorkville Community Unit School District 115, Illinois",Illinois
"Casey-Westfield Community Unit School District C-4, Illinois",Illinois
"Gibson City-Melvin-Sibley Community Unit School District 5, Illinois",Illinois
"Queen Bee School District 16, Illinois",Illinois
"Big Hollow School District 38, Illinois",Illinois
"Central School District 51, Illinois",Illinois
"Wayne City Community Unit School District 100, Illinois",Illinois
"High Mount School District 116, Illinois",Illinois
"Elwood Community Consolidated School District 203, Illinois",Illinois
