simbli_id,LEAID,LEA_NAME
36030388,631380,Pope Valley Union Elementary
36030389,600013,Rocklin Unified
36030390,619680,King City Union
36030391,633510,Roseland
36030392,632010,Red Bluff Joint Union High
36030393,602450,Amador County Unified
36030394,631980,Red Bluff Union Elementary
36030395,603000,Arcata Elementary
36030396,632070,Redlands Unified
36030397,603180,Armona Union Elementary
36030398,633690,Round Valley Joint Elementary
36030399,603610,Baker Valley Unified
36030400,633720,Round Valley Unified
36030401,600061,Riverbank Unified
36030402,632880,Ripon Unified
36030403,633840,Sacramento City Unified
36030404,600061,Riverbank Unified
36030405,634140,San Benito High
36030406,633150,Riverside Unified
36030407,605790,Brawley Elementary
36030408,606480,Burlingame Elementary
36030409,634170,San Bernardino City Unified
36030410,606900,Calexico Unified
36030411,633750,Rowland Unified
36030412,600067,Caruthers Unified
36030413,633860,Saddleback Valley Unified
36030414,621000,Las Virgenes Unified
36030415,612600,Elverta Joint Elementary
36030416,691030,San Diego County Office of Education
36030417,634425,San Gabriel Unified
36030418,634320,San Diego Unified
36030419,634440,San Jacinto Unified
36030421,634590,San Jose Unified
36030422,634740,San Lorenzo Valley Unified
36030423,634680,San Leandro Unified
36030424,634860,San Marino Unified
36030425,613530,Fallbrook Union High
36030426,635070,San Pasqual Valley Unified
36030427,634980,San Mateo Union High
36030428,634920,San Mateo-Foster City
36030429,635130,San Ramon Valley Unified
36030430,609780,Corning Union Elementary
36030431,635250,Sanger Unified
36030433,635430,Santa Clara Unified
36030434,609850,Corona-Norco Unified
36030435,635700,Santa Monica-Malibu Unified
36030436,601421,Santa Paula Unified
36030437,635670,Santa Maria Joint Union High
36030438,601329,Santa Rosa City Schools
36030439,636940,Siskiyou Union High
36030440,635970,Saugus Union
36030442,636270,Selma Unified
36030443,636940,Siskiyou Union High
36030444,636970,Snowline Joint Unified
36030445,635790,Santa Rita Union Elementary
36030446,691040,Sonoma County Office of Education
36030447,635850,Santa Ynez Valley Union High
36030448,615270,Glendora Unified
36030450,636000,Sausalito Marin City
36030451,637260,Sonora Union High
36030452,600065,Dinuba Unified
36030453,615480,Golden Feather Union Elementary
36030455,637590,Southern Humboldt Joint Unified
36030456,637890,Standard Elementary
36030457,615600,Gorman Joint
36030458,615600,Gorman Joint
36030459,636390,Sequoia Union High
36030460,637950,Stanislaus Union Elementary
36030461,691037,Shasta County Office of Education
36030462,638220,Sulphur Springs Union
36030463,638280,Summerville Union High
36030464,636570,Shasta Union Elementary
36030465,600021,Sunol Glen Unified
36030466,636600,Shasta Union High
36030467,616470,Hanford Elementary
36030468,638790,Tamalpais Union High
36030469,636670,Shoreline Unified
36030470,638880,Tehachapi Unified
36030471,600158,Turlock Unified
36030472,640150,Tustin Unified
36030473,630840,Planada Elementary
36030474,636805,Sierra Unified
36030475,636840,Simi Valley Unified
36030476,601332,Twin Rivers Unified
36030477,600064,Porterville Unified
36030478,637050,Soledad Unified
36030479,640300,Ukiah Unified
36030480,642810,Wilsona Elementary
36030481,642810,Wilsona Elementary
36030482,640380,Union Hill Elementary
36030483,637290,Soquel Union Elementary
36030485,637470,South Fork Union
36030487,637530,South San Francisco Unified
36030488,600107,Southern California ROC
36030490,621210,Lawndale Elementary
36030491,641610,Washington Union Elementary
36030493,615510,Goleta Union Elementary
36030494,621270,Le Grand Union High
36030496,641790,Waugh Elementary
36030497,621400,Lemoore Union High
36030498,621480,Lewiston Elementary
36030499,632550,West Contra Costa Unified
36030501,643140,Woodside Elementary
36030502,642510,William S. Hart Union High
36030503,621870,Lindsay Unified
36030504,643140,Woodside Elementary
36030505,641460,Washington Colony Elementary
36030506,609480,Columbia Union
36030507,600153,Alhambra Unified
36030508,622110,Livermore Valley Joint Unified
36030509,641220,Vista del Mar Union
36030510,602430,Alvord Unified
36030511,622350,Loma Prieta Joint Union Elementary
36030512,602970,Arcadia Unified
36030513,691136,Aromas - San Juan Unified
36030514,622440,Lone Pine Unified
36030515,603420,Atwater Elementary
36030516,603840,Banning Unified
36030517,691078,Los Angeles County Office of Education
36030519,622740,Los Banos Unified
36030520,604230,Bear Valley Unified
36030521,622920,Los Olivos Elementary
36030522,604440,Bellflower Unified
